authors,#enterseriesname,#enterseriesindex,title,#titleparttwo,series,series_index
"Chelsea Sedoti","","","As You Wish","","","1.0"
"Charlotte Hawkes","","","Tempted by Dr. Off_Limits","","","1.0"
"Cecil Castellucci","","","Don't Cosplay with My Heart","","","1.0"
"Cathy McDavid","","","The Bull Rider's Valentine","","","1.0"
"Catherine Anderson","","","Spring Forward","","","1.0"
"Carrie Ann Ryan","","","Whiskey Secrets","","","1.0"
"Carolyn Keene","","","The Haunting on Heliotrope Lane","","","1.0"
"Catherine Tinley","","","The Captain's Disgraced Lady","","","1.0"
"Caitlin Crews","","","A Baby to Bind His Bride","","","1.0"
"Callie Endicott","","","Moonlight Over Seattle","","","1.0"
"Cait O'Sullivan","","","Romancing the Seas","","","1.0"
"Charles Dougherty","Bluewater Thrillers","13","Bluewater Enigma","Caribbean Mystery and Adventure Series","Bluewater Thrillers","13.0"
"C. J. Cherryh","","","Emergence","","","1.0"
"Brooklyn Ann","","","The Highwayman's Bite","","","1.0"
"C.A. Szarek","","","Collision Force","","","1.0"
"Bronwyn Scott","","","Compromised by the Prince's Touch","","","1.0"
"Billy Coffey","","","Steal Away Home","","","1.0"
"Brenda Novak","","","A Family of Her Own","","","1.0"
"Bianca Sommerland","Deadly Captive","3","The End","","Deadly Captive","3.0"
"Beverley Oakley","","","Forsaking Hope","","","1.0"
"Bella Osborne","","","Ottercombe Bay, Part 1","","","1.0"
"Beverly Long","","","Power Play","","","1.0"
"Bella Frances","","","The Consequence She Cannot Deny","","","1.0"
"Barbara Meyers","","","A Month From Miami","","","1.0"
"Arlene Howard & Ralph Wimbish","","","Elston","","","1.0"
"Anton Chekhov","","","A Nervous Breakdown","","","1.0"
"Anna Todd","","","The Spring Girls","","","1.0"
"Anna Meriano","","","A Dash of Trouble","","","1.0"
"Anna Bennett","","","The Rogue Is Back in Town","","","1.0"
"Ann Christopher","","","No Ordinary Love","A Journey’s End Billionaire Romance","","1.0"
"Annie Claydon","","","Forbidden Night with the Duke","","","1.0"
